price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
11999,2017,toyota camry le,excellent,4,gas,35721,automatic,sedan,,,2018-09-13,25
9499,2015,nissan altima,like new,4,gas,51848,automatic,sedan,grey,,2018-11-12,7
3890,2011,subaru outback,excellent,4,gas,300000,automatic,SUV,white,1,2018-12-25,31
9500,2008,toyota highlander,good,6,gas,149799,automatic,SUV,,,2018-06-04,121
14999,2015,dodge charger,good,6,gas,63037,automatic,sedan,,,2018-05-11,37
10499,2013,chrysler 300,good,,gas,88042,automatic,sedan,,,2018-05-05,22
7500,2005,toyota tacoma,good,,gas,160000,automatic,pickup,,,2018-07-22,44
7999,2015,chrysler 200,good,4,gas,,automatic,sedan,,,2019-03-08,29
8000,2009,ford f-150,good,8,gas,234000,automatic,truck,black,1,2019-03-31,1
11499,2017,chevrolet equinox,like new,4,gas,54772,automatic,SUV,grey,1,2019-01-12,36
11995,2017,nissan rogue,like new,4,gas,,automatic,SUV,silver,1,2018-09-20,21
34900,2013,mercedes-benz benze sprinter 2500,excellent,6,diesel,,automatic,van,black,,2019-01-15,16
5100,2008,honda cr-v,excellent,4,gas,188000,automatic,SUV,red,1,2018-11-18,10
4500,2004,jeep grand cherokee,good,6,gas,168821,automatic,SUV,,1,2019-01-31,60
2400,2001,toyota camry,good,4,gas,277564,automatic,coupe,yellow,,2018-05-27,51
11200,2015,dodge charger,excellent,6,gas,90302,automatic,sedan,black,1,2018-07-19,73
12500,2008,toyota 4runner,good,6,gas,141098,automatic,SUV,grey,,2019-03-10,35
9500,2014,ford focus,excellent,4,diesel,46000,automatic,sedan,,,2018-10-09,24
3200,2006,honda civic,excellent,4,gas,255390,automatic,sedan,blue,,2018-10-18,23
6200,2006,ford f-150,excellent,6,gas,69698,automatic,truck,custom,,2018-05-03,50
3800,2012,ford focus,good,4,gas,130323,automatic,sedan,black,,2018-11-29,261
3300,2011,kia soul,good,4,gas,188963,manual,SUV,black,,2019-02-16,71
10400,2012,chevrolet colorado,excellent,5,gas,111871,automatic,truck,red,1,2019-01-30,27
30300,2017,ford f150 supercrew cab xlt,good,6,gas,30339,automatic,pickup,brown,1,2018-07-15,14
19700,2017,chevrolet camaro lt coupe 2d,good,6,gas,35807,other,coupe,,,2018-05-16,99
4200,2006,jeep grand cherokee,excellent,6,gas,,automatic,SUV,white,1,2018-07-01,79
4877,2012,chevrolet cruze,excellent,4,gas,163261,automatic,sedan,white,,2019-04-18,21
3200,2004,bmw x5,excellent,6,gas,,automatic,SUV,black,1,2019-04-09,10
5200,2006,toyota highlander,good,,gas,186000,automatic,SUV,green,,2018-12-20,2
13000,2005,ram 1500,good,8,gas,146000,automatic,truck,grey,1,2019-03-14,26
16999,2013,chevrolet silverado 1500,good,8,gas,137230,automatic,truck,white,1,2018-05-29,24
10499,2017,chevrolet cruze,good,4,gas,53601,automatic,sedan,black,,2019-01-13,48
30000,1966,ford mustang,excellent,,gas,51000,manual,convertible,red,,2019-01-23,17
15999,2017,chevrolet cruze,good,4,gas,17498,automatic,sedan,black,,2018-11-07,54
12800,,ford f-150,excellent,6,gas,108500,automatic,pickup,white,,2018-09-23,15
14999,2013,chevrolet silverado 3500hd,good,8,gas,,automatic,truck,white,1,2018-05-09,22
14950,2012,ram 1500,excellent,8,gas,114773,automatic,truck,grey,1,2019-04-09,85
6950,2013,nissan altima,excellent,4,gas,158786,automatic,sedan,,,2018-12-24,41
7800,,ford f-150,like new,8,gas,97510,automatic,truck,white,1,2019-02-20,39
5500,2006,honda accord,good,4,gas,,automatic,sedan,silver,,2018-11-27,15
23300,2018,nissan frontier crew cab sv,good,6,gas,27493,other,pickup,,1,2018-10-13,36
3650,,subaru impreza,excellent,,gas,74000,automatic,sedan,blue,1,2018-08-07,60
1900,1994,jeep grand cherokee laredo,good,6,gas,207,automatic,SUV,grey,1,2018-07-27,9
9950,2008,toyota 4runner,excellent,6,gas,,automatic,SUV,silver,1,2018-06-08,53
6950,2005,chevrolet tahoe,excellent,,gas,186021,automatic,SUV,,1,2018-10-30,3
3000,2010,nissan versa,like new,4,gas,200412,automatic,hatchback,silver,,2018-09-23,33
4200,2012,ford focus,like new,4,gas,144273,automatic,sedan,silver,,2018-06-11,19
23800,2019,nissan frontier crew cab sv,good,6,gas,10899,other,pickup,silver,1,2019-02-28,30
16500,2012,ford f-250 sd,good,8,gas,123262,automatic,truck,silver,1,2018-09-25,47
26900,2014,chevrolet silverado 1500 crew,good,8,gas,68607,automatic,pickup,,1,2018-09-08,10
5900,2000,ford f250 super duty,good,8,diesel,202752,automatic,pickup,red,,2018-07-08,32
9950,2014,dodge charger,good,8,gas,102878,automatic,sedan,white,,2018-06-02,28
11950,2008,chevrolet silverado,good,8,gas,170000,automatic,truck,black,1,2019-03-13,38
4995,,hyundai elantra,like new,4,gas,151223,automatic,sedan,custom,,2018-09-15,1
4826,2000,gmc yukon,like new,8,gas,226111,automatic,SUV,grey,1,2018-06-30,14
9599,2011,chevrolet camaro,good,6,gas,100680,manual,coupe,silver,,2018-10-26,18
8499,2009,bmw x5,good,,gas,104482,automatic,SUV,blue,1,2019-03-04,52
26000,2017,ford mustang gt coupe 2d,good,8,gas,,other,coupe,yellow,,2018-11-26,31
18800,2015,chevrolet camaro lt coupe 2d,good,6,gas,33926,other,coupe,grey,,2019-01-16,152
18000,2010,ram 1500,good,8,gas,50500,automatic,truck,white,1,2018-06-16,11
2800,2010,chevrolet colorado,good,5,gas,200800,automatic,pickup,,,2018-07-24,10
2950,2003,chevrolet silverado,good,8,gas,230000,automatic,pickup,,,2018-05-06,24
32000,2017,honda pilot,like new,6,gas,32104,automatic,SUV,white,,2018-07-12,100
8995,2012,toyota rav4,excellent,4,gas,124526,automatic,SUV,black,1,2018-12-14,24
9995,2017,hyundai sonata,excellent,4,gas,105985,automatic,sedan,white,,2018-05-02,18
24600,2013,ford mustang gt coupe 2d,good,8,gas,22474,other,coupe,white,,2018-10-28,22
6500,2012,ford fusion se,excellent,6,gas,90000,automatic,sedan,grey,,2018-09-20,94
3995,2008,subaru forester,excellent,4,gas,165000,automatic,SUV,white,1,2018-12-24,19
39950,2018,chevrolet silverado,excellent,8,gas,18500,automatic,truck,,1,2018-08-05,16
26000,2015,chevrolet silverado 1500 crew,good,8,gas,92281,automatic,pickup,white,1,2019-04-02,82
18700,2017,nissan frontier crew cab sv,good,6,gas,40002,other,pickup,white,,2018-06-01,44
10800,,chevrolet colorado,excellent,5,gas,114922,automatic,truck,red,1,2018-06-23,35
5500,2004,ford explorer,good,6,gas,140355,automatic,SUV,white,1,2018-09-10,35
22900,2014,ford f150 supercrew cab xlt,good,6,gas,73711,automatic,pickup,white,1,2019-02-27,141
26700,2015,ford f150 supercrew cab xlt,good,6,gas,48278,other,pickup,brown,1,2018-09-22,64
21500,2019,nissan frontier crew cab sv,good,6,gas,16168,other,pickup,white,,2019-03-29,70
19700,2017,chevrolet camaro lt coupe 2d,good,6,gas,35807,other,coupe,black,,2019-03-11,33
24200,2018,chevrolet camaro lt coupe 2d,good,6,gas,,other,coupe,grey,,2018-07-20,57
22800,2013,ford f-350 sd,good,8,diesel,207738,automatic,truck,brown,1,2018-11-08,62
28400,2017,ford mustang gt coupe 2d,good,8,gas,6665,other,coupe,blue,,2018-05-16,46
29900,2018,ford mustang gt coupe 2d,good,8,gas,3827,automatic,coupe,yellow,,2019-03-22,48
22500,2019,nissan frontier crew cab sv,good,6,gas,24209,other,pickup,,1,2019-03-03,73
24600,2014,chevrolet silverado 1500 crew,good,6,gas,85048,automatic,pickup,silver,1,2018-08-19,96
23700,,nissan frontier crew cab sv,good,6,gas,12901,other,pickup,black,1,2018-09-21,8
21900,2018,nissan frontier crew cab sv,good,6,gas,27576,other,pickup,,1,2018-11-22,58
25300,,chevrolet camaro lt coupe 2d,good,6,gas,3568,other,coupe,,,2018-06-16,34
4600,2012,nissan versa,good,4,gas,146000,automatic,sedan,,,2018-06-07,32
28900,2017,ford f150 supercrew cab xlt,good,6,gas,,automatic,pickup,white,1,2018-09-18,58
14800,2016,kia sorento,like new,,gas,,automatic,SUV,brown,,2019-02-27,93
33900,2018,chevrolet silverado 1500 crew,good,8,gas,11315,other,pickup,white,1,2019-03-01,2
4800,2006,honda accord,like new,4,gas,195000,automatic,sedan,silver,,2018-12-12,49
4500,2012,chevrolet impala,excellent,6,gas,145000,automatic,sedan,white,,2018-10-10,38
21595,2015,chevrolet silverado 1500,excellent,8,gas,92634,automatic,truck,black,1,2018-11-15,53
37000,2018,chevrolet silverado 1500 crew,good,8,gas,30465,other,pickup,white,1,2019-01-13,55
22900,2019,nissan frontier crew cab sv,good,6,gas,,other,pickup,blue,1,2019-04-15,67
25900,2012,chevrolet silverado 1500 crew,good,,other,,other,pickup,,1,2018-08-31,44
10999,2010,ford edge,good,6,gas,98193,automatic,SUV,blue,1,2018-08-11,78
2900,2000,nissan maxima,good,6,gas,170000,automatic,sedan,green,,2018-09-23,12
2700,2005,chevrolet equinox,good,6,gas,150352,automatic,SUV,silver,,2019-04-02,49
2900,2000,nissan maxima,good,6,gas,,automatic,sedan,green,,2019-04-09,27
9500,2009,ford f-250,good,8,gas,189490,automatic,truck,white,1,2018-08-03,6
4900,2011,nissan sentra,good,4,gas,116000,automatic,sedan,silver,,2018-11-30,19
24000,2018,nissan frontier crew cab sv,good,6,gas,16295,other,pickup,blue,1,2018-05-26,30
18200,2012,nissan frontier crew cab sv,good,6,gas,,other,pickup,white,,2018-09-19,30
28000,2016,ford mustang gt coupe 2d,good,,gas,,other,coupe,black,,2018-11-20,28
24700,2015,ford mustang gt coupe 2d,good,8,gas,37270,other,coupe,black,,2019-04-16,41
26900,2014,chevrolet silverado 1500 crew,good,8,gas,68607,automatic,pickup,black,1,2018-07-28,18
4500,2013,nissan altima,excellent,,gas,140000,automatic,sedan,silver,,2019-03-29,108
19500,2014,ford f150,excellent,8,gas,116000,automatic,truck,grey,1,2018-06-26,40
2000,1993,ford f-150,good,8,gas,258225,automatic,truck,red,,2019-03-06,34
13995,2010,chevrolet silverado 1500,excellent,8,gas,151442,automatic,truck,silver,1,2018-12-20,72
39990,2015,chevrolet corvette,like new,8,gas,17340,manual,coupe,,,2018-07-14,38
11995,2012,chevrolet suburban,excellent,8,gas,158487,automatic,SUV,grey,1,2018-11-10,16
8995,,chevrolet silverado 1500,excellent,8,gas,119726,automatic,truck,grey,1,2019-03-18,27
15995,2013,jeep wrangler,excellent,6,gas,138806,automatic,SUV,black,1,2018-09-08,112
7995,2012,chevrolet cruze,excellent,4,gas,81559,automatic,sedan,black,,2018-12-16,57
28250,2017,chevrolet silverado 1500,excellent,8,gas,13808,automatic,truck,white,1,2018-08-17,11
6995,2004,ford expedition,excellent,8,gas,92546,automatic,SUV,blue,1,2018-05-23,18
13900,2016,dodge grand caravan,excellent,6,gas,62711,automatic,van,black,,2019-04-11,37
28975,2017,chevrolet silverado 1500,excellent,8,gas,8354,automatic,truck,black,1,2019-01-07,13
14995,2011,jeep wrangler,excellent,6,gas,118371,automatic,SUV,orange,1,2019-01-25,49
25600,2017,ford mustang gt coupe 2d,good,8,gas,42957,other,coupe,,,2019-01-24,83
12990,2011,ford expedition,good,8,gas,124775,automatic,SUV,custom,1,2018-06-11,50
6300,2010,ford taurus,excellent,6,gas,155743,automatic,sedan,,,2018-11-01,30
26400,2016,ford mustang gt coupe 2d,good,8,gas,16890,other,coupe,white,,2018-05-15,10
17300,2014,chevrolet camaro lt coupe 2d,good,6,gas,27915,other,coupe,red,,2019-01-16,25
26700,2017,ford mustang gt coupe 2d,good,8,gas,26192,other,coupe,black,,2019-02-14,17
18975,2012,chevrolet silverado 1500,excellent,8,gas,24390,automatic,truck,white,,2018-11-15,61
23300,,nissan frontier crew cab sv,good,,gas,,other,pickup,grey,1,2018-07-24,73
31800,2018,chevrolet silverado 1500 crew,good,8,gas,22838,automatic,pickup,white,1,2019-01-29,29
3995,1999,acura tl,good,6,gas,180000,automatic,sedan,black,,2018-06-19,52
18600,2012,ford mustang gt coupe 2d,good,8,gas,96562,other,coupe,red,,2018-12-20,14
21100,2017,chevrolet camaro lt coupe 2d,good,,gas,24510,other,coupe,red,,2019-04-19,38
2500,,toyota camry,good,6,gas,150000,automatic,sedan,silver,,2018-06-13,68
22000,,ford f350 super duty,good,8,diesel,163000,automatic,truck,,1,2019-02-05,38
3995,2001,ford ranger,good,6,gas,102000,automatic,truck,brown,,2018-05-27,79
3650,2012,kia soul,excellent,4,gas,,automatic,wagon,white,,2018-07-11,50
7975,2007,gmc sierra,excellent,8,gas,228409,automatic,truck,white,,2018-10-27,15
9950,2008,toyota 4runner,excellent,6,gas,207348,automatic,SUV,,1,2018-10-28,11
3595,2005,chevrolet impala,good,6,gas,147667,automatic,sedan,red,,2018-11-12,30
9850,2008,chevrolet silverado 1500,good,8,gas,182225,automatic,truck,blue,1,2018-08-15,36
18600,2012,ford mustang gt coupe 2d,good,8,gas,96562,other,coupe,red,,2018-07-31,59
21100,2017,chevrolet camaro lt coupe 2d,good,,gas,24510,other,coupe,red,,2019-03-29,1
5995,2006,ford ranger,good,6,gas,148600,automatic,truck,silver,1,2018-11-10,35
6900,2011,subaru outback,excellent,6,gas,135445,automatic,SUV,,1,2018-11-02,57
8995,2005,ram 1500,good,8,gas,,automatic,truck,grey,1,2019-03-10,33
31400,2016,chevrolet silverado 1500 crew,good,8,gas,15070,automatic,pickup,black,1,2019-01-17,64
24200,2018,nissan frontier crew cab sv,good,6,gas,11034,other,pickup,blue,1,2018-06-29,9
10990,2006,chevrolet silverado 1500,good,,gas,93726,automatic,truck,white,1,2018-05-17,19
15950,2015,honda cr-v,excellent,4,gas,,other,SUV,black,1,2018-09-22,12
7500,1997,ford mustang,good,8,gas,185000,manual,coupe,white,,2019-01-05,9
11950,2003,jeep wrangler,excellent,6,gas,97211,automatic,SUV,custom,1,2018-08-01,15
16950,2010,jeep wrangler,excellent,6,gas,85490,other,SUV,red,1,2018-12-26,29
6800,,honda cr-v,excellent,4,gas,186000,automatic,SUV,grey,1,2018-12-22,25
6500,2009,hyundai santa fe,good,6,gas,98000,manual,SUV,,,2019-03-18,27
3000,,honda accord,good,6,gas,204000,automatic,coupe,blue,,2018-05-18,21
15000,2009,toyota tacoma,excellent,6,gas,221000,automatic,truck,black,1,2019-02-20,30
52000,2008,ford f350 super duty,good,8,diesel,117500,automatic,truck,grey,1,2018-06-27,24
10950,2011,ford expedition,excellent,8,gas,130390,automatic,SUV,,1,2018-12-23,33
23000,2018,honda accord,like new,4,gas,15000,manual,sedan,,,2018-08-22,37
3950,2009,subaru impreza,excellent,4,gas,137882,automatic,hatchback,silver,1,2018-08-22,19
5295,2005,ford f-150,good,8,gas,225000,automatic,pickup,white,1,2018-06-19,15
6995,2009,ford ranger,good,4,gas,,automatic,pickup,white,,2019-03-31,130
8999,2013,ford escape,excellent,4,gas,122964,automatic,wagon,,1,2018-06-03,31
5999,2012,nissan versa,excellent,4,gas,76737,automatic,sedan,silver,,2018-07-31,3
10997,2014,ford escape,excellent,4,gas,,automatic,wagon,,1,2018-11-17,10
10000,2006,ford f-150,excellent,8,gas,181000,automatic,truck,silver,1,2018-07-17,9
17999,2008,gmc sierra 2500hd,excellent,8,diesel,101959,automatic,truck,white,1,2018-05-06,46
8499,,nissan rogue,excellent,4,gas,123360,automatic,wagon,blue,1,2019-03-28,28
7999,2012,nissan rogue,excellent,4,gas,93496,automatic,wagon,black,,2018-10-15,29
15900,,ford escape,excellent,4,gas,19764,automatic,SUV,black,1,2018-07-03,32
28200,2012,ford f-350 sd,excellent,8,diesel,129000,automatic,truck,black,1,2018-07-15,30
2000,2002,honda civic lx,good,4,gas,216875,automatic,coupe,red,,2018-05-21,47
22914,2015,bmw x5,excellent,6,gas,69686,automatic,SUV,white,1,2018-08-11,19
19900,2013,ford f-150,excellent,6,gas,79657,automatic,truck,silver,1,2018-10-30,42
34900,2017,ford f-250 sd,excellent,8,gas,,automatic,truck,white,1,2018-11-12,13
24495,2016,ford explorer,excellent,6,gas,50123,automatic,SUV,white,1,2018-11-17,49
5300,2010,dodge charger,good,8,gas,156000,automatic,sedan,white,,2018-07-04,43
22900,2015,gmc sierra 1500,excellent,8,gas,85190,automatic,truck,custom,1,2018-05-15,24
14685,2011,toyota tacoma,excellent,6,gas,145671,automatic,truck,black,1,2019-01-03,8
24869,2015,gmc sierra 1500,excellent,8,gas,82056,automatic,truck,black,1,2019-03-20,23
5995,2006,honda odyssey,excellent,6,gas,,automatic,van,red,,2019-04-10,33
4999,2005,toyota camry le,excellent,4,gas,105000,automatic,sedan,silver,,2019-03-01,60
7800,2012,chevrolet traverse,good,6,gas,157000,automatic,SUV,blue,1,2018-11-30,4
12500,2009,cadillac escalade,excellent,8,gas,159000,automatic,SUV,,1,2018-10-01,26
4975,2007,honda odyssey,excellent,6,gas,205000,automatic,mini-van,brown,,2018-10-28,35
2795,2003,volkswagen jetta,good,4,gas,178950,manual,sedan,,,2018-05-20,98
500,2004,toyota corolla,like new,4,gas,,automatic,sedan,blue,,2018-09-17,24
2800,2006,ford escape,excellent,6,gas,,automatic,SUV,white,,2018-05-11,5
41800,2018,chevrolet silverado 3500hd,good,8,gas,148459,automatic,truck,,1,2019-03-19,11
10800,2015,toyota camry,excellent,4,gas,28150,automatic,sedan,black,1,2018-09-25,24
2750,2006,honda civic lx,good,4,gas,200,manual,sedan,black,,2018-07-06,41
7995,2008,jeep grand cherokee,excellent,6,gas,104613,automatic,SUV,silver,1,2018-05-23,23
22500,2013,ford f-250 sd,good,8,gas,128415,automatic,truck,green,1,2019-03-03,32
9995,2013,chrysler town & country,excellent,6,gas,81999,automatic,van,,,2019-01-07,71
6995,2005,honda accord,like new,6,gas,45429,automatic,sedan,grey,,2018-11-04,53
11795,2015,toyota tacoma,excellent,4,gas,111048,automatic,truck,white,,2018-09-30,30
8795,2014,honda civic,excellent,,gas,85452,automatic,sedan,grey,,2018-09-11,164
6995,2011,hyundai sonata,excellent,4,gas,117371,automatic,sedan,grey,1,2019-02-26,20
6795,2013,volkswagen passat,excellent,5,gas,119453,automatic,sedan,red,,2018-12-12,19
6795,2012,volkswagen jetta,excellent,5,gas,104310,automatic,sedan,white,,2019-03-11,16
7995,2014,chevrolet cruze,excellent,4,gas,120052,automatic,sedan,blue,,2018-10-27,27
25800,2015,toyota tacoma,like new,6,gas,49900,automatic,pickup,white,1,2018-07-24,39
8595,2010,toyota prius,excellent,4,gas,99630,automatic,hatchback,white,,2019-02-05,44
8995,2010,toyota prius,excellent,4,gas,74138,automatic,hatchback,white,,2018-07-09,38
7995,2010,honda accord,excellent,,gas,90880,automatic,sedan,grey,,2018-09-16,3
7100,2004,ford f-150,good,8,gas,121000,automatic,truck,,1,2019-03-10,23
6995,2010,jeep liberty,excellent,,gas,105771,automatic,SUV,brown,1,2019-02-05,19
4795,2007,nissan altima,excellent,4,gas,131020,automatic,sedan,grey,,2018-10-19,31
6500,2009,ford f-250,good,8,gas,113000,automatic,pickup,white,1,2018-09-09,19
22800,2013,ford f-350 sd,good,8,diesel,,automatic,truck,brown,1,2018-09-27,38
1500,2001,jeep grand cherokee,good,6,gas,185000,automatic,SUV,black,1,2018-10-15,56
9799,2017,nissan altima,excellent,4,gas,51153,automatic,sedan,silver,1,2018-06-23,35
11799,2014,chevrolet camaro,excellent,6,gas,50468,automatic,coupe,yellow,,2018-12-30,39
5700,2002,chevrolet silverado 1500,good,8,gas,105000,automatic,pickup,silver,1,2018-06-17,68
3700,2009,nissan rogue,good,4,gas,174902,automatic,SUV,black,,2019-03-14,31
13499,2014,ford f150,good,6,gas,,automatic,pickup,,1,2019-02-13,20
24399,2013,ram 1500,excellent,,gas,97321,automatic,pickup,red,1,2019-01-08,43
11799,2015,chevrolet camaro,excellent,6,gas,26881,automatic,coupe,red,,2019-02-03,21
9299,2016,nissan altima,excellent,4,gas,47833,automatic,sedan,silver,,2019-01-19,75
3750,2007,jeep grand cherokee laredo,fair,6,gas,131800,automatic,SUV,grey,1,2018-06-29,50
3800,2012,nissan altima,good,4,gas,186576,automatic,sedan,black,,2019-01-02,37
7995,2011,subaru forester,good,4,gas,112000,automatic,SUV,blue,1,2019-02-12,53
23200,2018,chevrolet camaro lt coupe 2d,good,6,gas,7136,other,coupe,black,,2018-08-18,25
5500,1981,chevrolet corvette,fair,8,gas,75000,automatic,coupe,blue,,2019-01-15,49
9100,2014,kia sorento,good,4,gas,100100,automatic,SUV,silver,1,2018-08-30,74
8977,2013,kia sorento,excellent,,gas,85415,automatic,SUV,silver,,2018-07-25,72
18675,2015,ram 1500,good,8,gas,86115,automatic,truck,,1,2018-11-11,7
8675,2012,buick enclave,good,6,gas,,automatic,SUV,brown,,2018-05-06,36
14975,,toyota 4runner,good,6,gas,,automatic,SUV,silver,,2018-05-13,57
20675,2018,ford escape,good,4,gas,,automatic,SUV,black,1,2018-09-29,30
19675,2008,gmc sierra 2500hd,good,8,gas,,automatic,truck,grey,1,2018-09-22,35
14995,,chevrolet silverado 1500,good,8,gas,114587,automatic,truck,grey,1,2018-11-02,11
13889,2005,gmc sierra 2500hd,good,8,gas,95914,automatic,truck,custom,1,2018-07-13,37
5000,2011,toyota camry le,excellent,4,gas,173000,automatic,sedan,white,,2018-06-26,19
6100,2013,ford fusion,good,4,gas,,automatic,sedan,silver,,2018-07-19,80
3250,2001,ford f150,fair,8,gas,296000,automatic,truck,black,1,2018-12-07,24
28200,2012,ford f-350 sd,excellent,8,diesel,129000,automatic,truck,black,1,2018-09-26,28
15900,2016,ford escape,excellent,4,gas,19764,automatic,SUV,,1,2018-12-09,48
34900,2017,ford f-250 sd,excellent,8,gas,,automatic,truck,white,1,2018-12-06,56
22914,2015,bmw x5,excellent,6,gas,69686,automatic,SUV,white,1,2018-07-07,9
22900,2015,gmc sierra 1500,excellent,8,gas,85190,automatic,truck,,1,2018-08-24,11
19900,2013,ford f-150,excellent,6,gas,79657,automatic,truck,silver,1,2019-03-01,4
14685,2011,toyota tacoma,excellent,6,gas,,automatic,truck,,1,2018-06-21,32
24869,2015,gmc sierra 1500,excellent,8,gas,82056,automatic,truck,black,1,2018-06-29,22
22399,2011,gmc sierra 2500hd,excellent,8,gas,121047,automatic,pickup,,1,2018-05-17,66
9950,2013,toyota prius,excellent,,hybrid,101200,automatic,hatchback,silver,,2018-08-24,11
17379,2007,jeep wrangler,excellent,6,gas,111921,automatic,SUV,,1,2018-12-26,50
5999,2012,nissan altima,excellent,4,gas,99000,automatic,sedan,black,,2018-12-27,28
4900,2007,toyota rav4,like new,6,gas,,automatic,SUV,blue,,2019-03-17,13
3995,2013,chrysler 200,good,4,gas,,automatic,sedan,black,,2018-09-26,4
10900,2012,toyota tacoma,excellent,4,gas,132000,manual,pickup,red,1,2018-10-10,46
6995,2004,toyota tundra,good,,gas,224000,automatic,truck,,1,2018-09-04,33
3500,2004,toyota camry,fair,4,gas,155000,automatic,sedan,white,,2018-11-16,33
41999,2018,ram 3500,good,6,diesel,5127,automatic,truck,black,,2018-08-03,11
35999,2015,ram 2500,good,6,diesel,157558,automatic,truck,grey,1,2018-12-13,59
31999,2011,ram 3500,good,6,diesel,148128,automatic,truck,,1,2018-11-21,64
28999,2012,ram 2500,good,6,diesel,146875,automatic,truck,silver,1,2018-07-22,51
32999,2012,ram 3500,good,6,diesel,126201,automatic,truck,silver,1,2018-10-26,58
7800,2010,nissan frontier,excellent,6,gas,160266,automatic,truck,red,1,2018-08-06,55
14999,2016,honda cr-v,excellent,4,gas,32000,automatic,SUV,grey,1,2018-08-10,66
19999,2015,gmc sierra,excellent,8,gas,43000,automatic,truck,white,1,2019-04-01,63
4999,2008,chrysler town & country,excellent,6,gas,129448,automatic,mini-van,white,,2018-06-15,13
3500,2016,honda accord,excellent,,gas,30300,automatic,sedan,black,,2018-09-21,67
15600,2016,subaru outback,excellent,4,gas,106700,automatic,wagon,black,1,2018-05-08,40
4488,2003,toyota rav4,excellent,4,gas,,automatic,SUV,silver,1,2019-03-18,11
14995,2016,toyota rav4,excellent,4,gas,,automatic,SUV,black,,2018-09-25,109
2500,2016,honda civic,excellent,4,gas,35000,automatic,sedan,white,,2018-10-12,8
18488,2014,ford f-150,good,,gas,104906,automatic,truck,blue,,2019-02-12,17
15674,2017,chevrolet equinox,good,,gas,51276,automatic,SUV,silver,,2019-04-06,39
14999,2013,ford f-150,good,6,gas,52520,automatic,truck,white,1,2018-05-02,23
7999,2013,ford focus,good,4,gas,127230,automatic,sedan,red,,2018-09-28,9
9877,2010,toyota corolla,good,4,gas,153510,automatic,sedan,white,,2018-07-06,17
16999,2003,chevrolet silverado 2500hd,good,,gas,238986,automatic,truck,white,1,2019-02-08,10
7999,2007,honda accord,good,4,gas,,automatic,sedan,,,2018-12-31,43
8850,2017,nissan versa,good,4,gas,31501,automatic,sedan,white,,2018-12-28,42
